Annee,Remise,Nature_Group,Variable,Moyenne_Ajustee.x,total_ajuste.x,Moyenne_Ajustee.y,total_ajuste.y
2023,T3,Vie,FONDS PROPRES,2524048056,1.91828E+11,2523991946,1.91823E+11
2023,T4,Non Vie,FONDS PROPRES,1104473894,1.40268E+11,1103850478,1.40189E+11
2023,T4,Vie,FONDS PROPRES,2459876699,1.86951E+11,2459789419,1.86944E+11
2024,T1,Non Vie,FONDS PROPRES,1087973216,1.40349E+11,1087973216,1.40349E+11
2024,T1,Vie,FONDS PROPRES,2446040997,1.85899E+11,2446040997,1.85899E+11
2024,T2,Non Vie,FONDS PROPRES,1085626393,1.40046E+11,1085626393,1.40046E+11
2024,T2,Vie,FONDS PROPRES,2441898464,1.85584E+11,2441898464,1.85584E+11
2024,T3,Non Vie,FONDS PROPRES,1109281134,1.43097E+11,1109281134,1.43097E+11
2024,T3,Vie,FONDS PROPRES,2490325629,1.89265E+11,2490325629,1.89265E+11
2024,T4,Non Vie,FONDS PROPRES,1110752350,1.43287E+11,1110913791,1.43308E+11
2024,T4,Vie,FONDS PROPRES,2392223161,1.81809E+11,2393556415,1.8191E+11
2025,T1,Non Vie,FONDS PROPRES,1134896418,1.45267E+11,1134896418,1.45267E+11
2025,T1,Vie,FONDS PROPRES,2371429610,1.826E+11,2371429610,1.826E+11
2025,T2,Non Vie,FONDS PROPRES,1165336239,1.49163E+11,1165336239,1.49163E+11
2025,T2,Vie,FONDS PROPRES,2437029977,1.87651E+11,2437544814,1.87691E+11
2025,T3,Non Vie,FONDS PROPRES,1187535211,1.52005E+11,1187644724,1.52019E+11
2025,T3,Vie,FONDS PROPRES,2469185230,1.90127E+11,2469791489,1.90174E+11
