"Annee","Remise","Nature_Group","Variable","Moyenne_Ajustee","total_ajuste"
2023,"T1","Non Vie","FONDS PROPRES",1086994920.94464,136961360039.025
2023,"T1","Vie","FONDS PROPRES",2566515443.62099,195055173715.195
2023,"T2","Non Vie","FONDS PROPRES",1083340573.14324,137584252789.191
2023,"T2","Vie","FONDS PROPRES",2590483431.73018,196876740811.493
2023,"T3","Non Vie","FONDS PROPRES",1093206990.40407,138837287781.317
2023,"T3","Vie","FONDS PROPRES",2524048055.66575,191827652230.597
2023,"T4","Non Vie","FONDS PROPRES",1104473894.2093,140268184564.581
2023,"T4","Vie","FONDS PROPRES",2459876698.85461,186950629112.95
2024,"T1","Non Vie","FONDS PROPRES",1087973215.61058,140348544813.765
2024,"T1","Vie","FONDS PROPRES",2446040997.11706,185899115780.897
2024,"T2","Non Vie","FONDS PROPRES",1085626392.74229,140045804663.755
2024,"T2","Vie","FONDS PROPRES",2441898463.63029,185584283235.902
2024,"T3","Non Vie","FONDS PROPRES",1109281133.80463,143097266260.798
2024,"T3","Vie","FONDS PROPRES",2490325628.71834,189264747782.594
2024,"T4","Non Vie","FONDS PROPRES",1110752349.8164,143287053126.315
2024,"T4","Vie","FONDS PROPRES",2392223160.92076,181808960229.977
2025,"T1","Non Vie","FONDS PROPRES",1134896417.60088,145266741452.913
2025,"T1","Vie","FONDS PROPRES",2371429609.75742,182600079951.321
2025,"T2","Non Vie","FONDS PROPRES",1165336239.22173,149163038620.382
2025,"T2","Vie","FONDS PROPRES",2437029977.28842,187651308251.209
2025,"T3","Non Vie","FONDS PROPRES",1187535211.22799,152004507037.183
2025,"T3","Vie","FONDS PROPRES",2469185229.83922,190127262697.62
